Designator,Mid X,Mid Y,Rotation,Layer
BT2,150.0,-53.0,0.0,top
C1,111.15,-133.17,180.0,top
C10,121.99,-95.56,180.0,top
C11,115.52,-83.98,270.0,top
C12,184.229995,-110.659992,90.0,top
C13,188.0,-88.0,0.0,top
C14,151.12,-88.7,0.0,top
C15,112.82,-103.65,270.0,top
C16,150.88,-79.57,0.0,top
C17,128.55,-71.23,90.0,top
C18,132.86,-71.27,90.0,top
C19,122.09,-88.77,90.0,top
C2,111.2,-137.73,180.0,top
C20,119.3,-80.84,0.0,top
C21,122.92,-78.05,0.0,top
C3,111.13,-129.98,180.0,top
C4,110.95,-122.94,180.0,top
C5,110.95,-120.0,180.0,top
C6,110.95,-126.539616,180.0,top
C7,151.09,-93.42,0.0,top
C8,150.86,-69.11,0.0,top
C9,150.9,-74.4,0.0,top
D1,109.874987,-106.82,180.0,top
D2,105.09,-92.51,0.0,top
D4,107.69,-69.275,90.0,top
D5,122.36,-69.465,90.0,top
D6,132.388654,-107.190076,180.0,top
FB1,111.26,-135.56,180.0,top
J1,120.145,-139.54,0.0,top
J10,195.18,-104.65,0.0,top
J11,198.44,-96.69,0.0,top
J2,121.075,-119.16,90.0,top
J3,199.59,-58.04,90.0,top
J5,136.38,-68.43,0.0,top
J8,170.98,-68.4,0.0,top
J9,176.36,-94.16,0.0,top
Q1,118.46,-106.6,270.0,top
R1,183.0,-88.0,0.0,top
R10,189.0,-92.0,90.0,top
R11,187.229995,-110.659992,90.0,top
R12,184.229995,-115.659992,90.0,top
R13,183.66,-121.88,0.0,top
R14,179.17,-127.79,270.0,top
R15,176.47,-86.04,0.0,top
R16,190.229995,-110.659992,90.0,top
R17,188.142495,-116.659992,180.0,top
R18,176.5,-89.54,0.0,top
R19,166.21,-66.09,0.0,top
R2,118.202583,-123.445032,0.0,top
R20,194.25,-98.97,90.0,top
R21,190.05,-98.8,180.0,top
R22,116.3825,-61.75,0.0,top
R3,118.282583,-126.705032,0.0,top
R36,105.0,-74.0875,90.0,top
R39,122.92,-74.36,0.0,top
R4,113.64,-96.33,90.0,top
R40,114.58,-66.73,180.0,top
R5,118.67,-112.49,180.0,top
R6,109.27,-102.82,180.0,top
R7,106.21,-98.72,0.0,top
R8,188.3,-122.05,180.0,top
R9,182.0,-92.0,90.0,top
SW1,132.79,-88.57,180.0,top
U1,109.884923,-85.959962,0.0,top
U11,126.09,-107.27,0.0,top
U2,118.55,-101.91,270.0,top
U3,118.69,-130.27,270.0,top
U4,185.0,-92.0,0.0,top
U5,186.0,-127.0,90.0,top
U6,187.580008,-113.67,270.0,top
U7,115.451694,-75.635001,270.0,top
U8,151.6,-96.46,270.0,top
U9,185.84,-72.81,270.0,top
X1,132.396899,-75.693292,0.0,top
